,,Variable,SHR %,
,,Target,Total Individuals,
Date,Day of week,Channel\Activity,(r) Live + As Live,
31.10.2021,Sunday,RTS 1,21.30%,
,,PINK,13.70%,
,,PRVA,8.30%,
,,Happy K,6.20%,
,,RTS 2,5.30%,
,,O2,3.90%,
,,Fox Crime,2.30%,
,,SUPERSTAR TV,2.30%,
,,Nickelodeon,2.10%,
,,ArenaSport 1,1.90%,
30.10.2021,Saturday,RTS 1,22.40%,
,,PINK,12.90%,
,,PRVA,8.10%,
,,Happy K,7.20%,
,,O2,4.40%,
,,RTS 2,4.00%,
,,SUPERSTAR TV,3.10%,
,,Nickelodeon,2.30%,
,,ArenaSport 1,2.20%,
,,PINK Action,2.10%,
29.10.2021,Friday,RTS 1,23.90%,
,,PINK,12.90%,
,,PRVA,9.00%,
,,Happy K,7.20%,
,,Nick Kids,3.90%,
,,RTS 2,3.30%,
,,SUPERSTAR TV,2.90%,
,,Nickelodeon,2.50%,
,,N1,2.50%,
,,PINK Action,2.00%,
28.10.2021,Thursday,RTS 1,27.60%,
,,PINK,13.80%,
,,Happy K,7.40%,
,,PRVA,7.30%,
,,RTS 2,4.70%,
,,O2,3.80%,
,,Nickelodeon,2.70%,
,,SUPERSTAR TV,2.50%,
,,N1,2.00%,
,,Fox Crime,1.90%,
27.10.2021,Wednesday,RTS 1,27.90%,
,,PINK,13.90%,
,,PRVA,8.70%,
,,Happy K,7.20%,
,,RTS 2,4.90%,
,,O2,3.80%,
,,SUPERSTAR TV,3.00%,
,,N1,2.30%,
,,Fox,2.10%,
,,Nickelodeon,2.10%,
26.10.2021,Tuesday,RTS 1,24.50%,
,,PINK,13.90%,
,,PRVA,8.60%,
,,Happy K,8.50%,
,,O2,4.90%,
,,RTS 2,2.90%,
,,Nickelodeon,2.70%,
,,N1,2.60%,
,,SUPERSTAR TV,2.40%,
,,Fox Crime,1.90%,
25.10.2021,Monday,RTS 1,21.50%,
,,PINK,15.40%,
,,PRVA,10.10%,
,,Happy K,7.60%,
,,O2,4.00%,
,,RTS 2,3.80%,
,,SUPERSTAR TV,2.70%,
,,Nickelodeon,2.50%,
,,Fox Crime,2.00%,
,,N1,2.00%,
24.10.2021,Sunday,RTS 1,21.20%,
,,PINK,16.20%,
,,PRVA,8.80%,
,,Happy K,6.70%,
,,O2,3.80%,
,,RTS 2,3.40%,
,,ArenaSport 1,2.50%,
,,Nickelodeon,2.40%,
,,SUPERSTAR TV,2.40%,
,,Nova S,2.00%,
23.10.2021,Saturday,RTS 1,19.70%,
,,PINK,19.60%,
,,Happy K,7.40%,
,,PRVA,7.20%,
,,RTS 2,5.00%,
,,O2,3.90%,
,,Nickelodeon,2.70%,
,,SUPERSTAR TV,2.70%,
,,ArenaSport 1,2.40%,
,,Fox Crime,2.10%,
22.10.2021,Friday,RTS 1,22.30%,
,,PINK,15.00%,
,,PRVA,9.10%,
,,Happy K,7.80%,
,,O2,3.60%,
,,Nickelodeon,2.50%,
,,SUPERSTAR TV,2.50%,
,,Fox,2.30%,
,,Minimax,2.20%,
,,N1,2.10%,
21.10.2021,Thursday,RTS 1,19.10%,
,,PINK,17.10%,
,,PRVA,8.60%,
,,Happy K,7.80%,
,,O2,4.20%,
,,RTS 2,2.60%,
,,Minimax,2.30%,
,,SUPERSTAR TV,2.30%,
,,Nickelodeon,2.20%,
,,N1,2.10%,
20.10.2021,Wednesday,RTS 1,19.10%,
,,PINK,16.50%,
,,PRVA,11.50%,
,,Happy K,7.80%,
,,O2,4.00%,
,,RTS 2,3.00%,
,,Nickelodeon,2.70%,
,,SUPERSTAR TV,2.30%,
,,N1,2.10%,
,,Fox Crime,2.10%,
19.10.2021,Tuesday,RTS 1,18.10%,
,,PINK,15.70%,
,,PRVA,9.90%,
,,Happy K,7.10%,
,,O2,5.50%,
,,SUPERSTAR TV,2.70%,
,,N1,2.30%,
,,Fox,2.20%,
,,RTS 2,2.10%,
,,Fox Crime,2.10%,
18.10.2021,Monday,RTS 1,22.40%,
,,RTS 2,15.90%,
,,RTS 3,8.10%,
,,RTS Drama,7.20%,
,,RTS Trezor,4.40%,
,,RTS Zivot,4.00%,
,,RTS Muzika,3.10%,
,,RTS Kolo,2.30%,
,,RTS Poletarac,2.20%,
,,Happy K,2.10%,
