,,Variable,SHR %,
,,Target,Total Individuals,
Date,Day of week,Channel\Activity,(r) Live + As Live,
31.10.2021,Sunday,RTS(7),24.30%,
,,PINK(13),16.70%,
,,KOPERNIKUS(4),11.30%,
,,TELEKOM(20),9.20%,
,,HAPPY(1),8.30%,
,,CAS(10),6.90%,
,,TWDC(3),5.30%,
,,RTV(2),5.30%,
30.10.2021,Saturday,RTS(7),25.40%,
,,PINK(13),15.90%,
,,KOPERNIKUS(4),11.10%,
,,TELEKOM(20),10.20%,
,,HAPPY(1),7.40%,
,,CAS(10),7.00%,
,,TWDC(3),6.10%,
,,RTV(2),5.30%,
29.10.2021,Friday,RTS(7),26.90%,
,,PINK(13),15.90%,
,,KOPERNIKUS(4),12.00%,
,,TELEKOM(20),10.20%,
,,HAPPY(1),6.90%,
,,CAS(10),6.30%,
,,TWDC(3),5.90%,
,,RTV(2),5.50%,
28.10.2021,Thursday,RTS(7),30.60%,
,,PINK(13),16.80%,
,,KOPERNIKUS(4),10.40%,
,,TELEKOM(20),10.30%,
,,HAPPY(1),7.70%,
,,CAS(10),6.80%,
,,TWDC(3),5.70%,
,,RTV(2),5.50%,
27.10.2021,Wednesday,RTS(7),30.90%,
,,PINK(13),16.90%,
,,KOPERNIKUS(4),11.70%,
,,TELEKOM(20),10.20%,
,,HAPPY(1),7.90%,
,,CAS(10),6.80%,
,,TWDC(3),6.00%,
,,RTV(2),5.30%,
26.10.2021,Tuesday,RTS(7),27.50%,
,,PINK(13),16.90%,
,,KOPERNIKUS(4),11.60%,
,,TELEKOM(20),11.50%,
,,HAPPY(1),7.90%,
,,CAS(10),5.90%,
,,TWDC(3),5.70%,
,,RTV(2),5.60%,
25.10.2021,Monday,RTS(7),24.50%,
,,PINK(13),18.40%,
,,KOPERNIKUS(4),13.10%,
,,TELEKOM(20),10.60%,
,,HAPPY(1),7.00%,
,,CAS(10),6.80%,
,,TWDC(3),5.70%,
,,RTV(2),5.50%,
24.10.2021,Sunday,RTS(7),24.20%,
,,PINK(13),19.20%,
,,KOPERNIKUS(4),11.80%,
,,TELEKOM(20),9.70%,
,,HAPPY(1),6.80%,
,,CAS(10),6.40%,
,,TWDC(3),5.50%,
,,RTV(2),5.40%,
23.10.2021,Saturday,RTS(7),22.70%,
,,PINK(13),22.60%,
,,KOPERNIKUS(4),10.40%,
,,TELEKOM(20),10.20%,
,,HAPPY(1),8.00%,
,,CAS(10),6.90%,
,,TWDC(3),5.70%,
,,RTV(2),5.70%,
22.10.2021,Friday,RTS(7),25.30%,
,,PINK(13),18.00%,
,,KOPERNIKUS(4),12.10%,
,,TELEKOM(20),10.80%,
,,HAPPY(1),6.60%,
,,CAS(10),5.50%,
,,TWDC(3),5.50%,
,,RTV(2),5.30%,
21.10.2021,Thursday,RTS(7),22.10%,
,,PINK(13),20.10%,
,,KOPERNIKUS(4),11.60%,
,,TELEKOM(20),10.80%,
,,HAPPY(1),7.20%,
,,CAS(10),5.60%,
,,TWDC(3),5.30%,
,,RTV(2),5.30%,
20.10.2021,Wednesday,RTS(7),22.10%,
,,PINK(13),19.50%,
,,KOPERNIKUS(4),14.50%,
,,TELEKOM(20),10.80%,
,,HAPPY(1),7.00%,
,,CAS(10),6.00%,
,,TWDC(3),5.70%,
,,RTV(2),5.30%,
19.10.2021,Tuesday,RTS(7),21.10%,
,,PINK(13),18.70%,
,,KOPERNIKUS(4),12.90%,
,,TELEKOM(20),10.10%,
,,HAPPY(1),8.50%,
,,CAS(10),5.70%,
,,TWDC(3),5.30%,
,,RTV(2),5.20%,
18.10.2021,Monday,RTS(7),27.40%,
,,PINK(13),15.90%,
,,KOPERNIKUS(4),11.10%,
,,TELEKOM(20),10.20%,
,,HAPPY(1),7.40%,
,,CAS(10),7.00%,
,,TWDC(3),6.10%,
,,RTV(2),5.30%,
